char_id,ontology,list_of_finest_character
190,hao,"http://purl.obolibrary.org/obo/HAO_0001439"
190,pato,"http://purl.obolibrary.org/obo/PATO_0000052"
191,hao,"http://purl.obolibrary.org/obo/HAO_0000548"
191,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
192,hao,"http://purl.obolibrary.org/obo/HAO_0000121"
192,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
193,hao,"http://purl.obolibrary.org/obo/HAO_0000475,http://purl.obolibrary.org/obo/HAO_0000566"
193,pato,"http://purl.obolibrary.org/obo/PATO_0000140"
194,hao,"http://purl.obolibrary.org/obo/HAO_0000635"
194,pato,"http://purl.obolibrary.org/obo/PATO_0000141"
195,hao,"http://purl.obolibrary.org/obo/HAO_0001368"
195,pato,"http://purl.obolibrary.org/obo/PATO_0000117"
196,hao,"http://purl.obolibrary.org/obo/HAO_0001256"
196,pato,"http://purl.obolibrary.org/obo/PATO_0000117"
197,hao,"http://purl.obolibrary.org/obo/HAO_0001858"
197,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
198,hao,"http://purl.obolibrary.org/obo/HAO_0000603"
198,pato,"http://purl.obolibrary.org/obo/PATO_0000117"
199,hao,"http://purl.obolibrary.org/obo/HAO_0000603,http://purl.obolibrary.org/obo/HAO_0000574"
199,pato,"http://purl.obolibrary.org/obo/PATO_0000133"
200,hao,"http://purl.obolibrary.org/obo/HAO_0000189"
200,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
201,hao,"http://purl.obolibrary.org/obo/HAO_0002483"
201,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
202,hao,"http://purl.obolibrary.org/obo/HAO_0000404"
202,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
203,hao,"http://purl.obolibrary.org/obo/HAO_0000625"
203,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
204,hao,"http://purl.obolibrary.org/obo/HAO_0000625"
204,pato,"http://purl.obolibrary.org/obo/PATO_0000140"
205,hao,"http://purl.obolibrary.org/obo/HAO_0000603"
205,pato,"http://purl.obolibrary.org/obo/PATO_0000052"
206,hao,"http://purl.obolibrary.org/obo/HAO_0000624"
206,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
207,hao,"http://purl.obolibrary.org/obo/HAO_0002484"
207,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
208,hao,"http://purl.obolibrary.org/obo/HAO_0002485"
208,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
209,hao,"http://purl.obolibrary.org/obo/HAO_0000608,http://purl.obolibrary.org/obo/HAO_0000051"
209,pato,"http://purl.obolibrary.org/obo/PATO_0000140"
210,hao,"http://purl.obolibrary.org/obo/HAO_0000608,http://purl.obolibrary.org/obo/HAO_0000621"
210,pato,"http://purl.obolibrary.org/obo/PATO_0000140"
211,hao,"http://purl.obolibrary.org/obo/HAO_0002509"
211,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
212,hao,"http://purl.obolibrary.org/obo/HAO_0000632"
212,pato,"http://purl.obolibrary.org/obo/PATO_0000140"
